Job Category,Employment,AIOE,Potential complementarity,Complementarity-adjusted AIOE,"High exposure, low complementarity","High exposure, high complementarity",Low exposure
number,Total,average index,average index,average index,Percentage,Percentage,Percentage
Total,"13,943,200",6.0758,0.5953,5.3231,30,27,43
Occupation,,,,,,,
Management occupations (0),"1,401,800",6.4705,0.661,5.4581,6,86,8
"Support occupations in sales and service (66, 67)","1,156,000",5.5916,0.5097,5.1406,2,0,98
"Administrative occupations in finance, insurance and business (12, 13)","961,000",6.4815,0.5578,5.8056,83,17,0
"Office support and co-ordination occupations (14, 15)","916,800",6.2339,0.5002,5.7637,79,1,20
"Sales and service supervisors (62, 63)","759,000",6.0866,0.604,5.3035,17,30,53
Service representatives and other customer and personal services occupations (65),"744,800",6.0972,0.5345,5.5326,59,3,38
"Transport and heavy equipment operators and servicers (74, 75)","701,400",5.5456,0.608,4.8267,0,0,100
"Industrial, electrical and construction trades (72)","646,100",5.5706,0.6345,4.7715,0,0,100
Professional occupations in education services (40),"643,900",6.4743,0.6814,5.3975,9,91,0
"Support occupations in law and social services (42, 43, 44)","624,100",6.0716,0.6286,5.2256,27,30,43
Sales representatives and salespersons in wholesale and retail trade (64),"618,600",6.0941,0.5568,5.4565,85,15,0
Technical occupations related to natural and applied sciences (22),"460,200",6.1608,0.6202,5.3268,36,37,27
Professional occupations in business and finance (11),"452,100",6.6595,0.5886,5.86,100,0,0
Maintenance and equipment operation trades (73),"418,400",5.6468,0.659,4.7689,0,6,94
"Assemblers and labourers in manufacturing and utilities (95, 96)","371,800",5.5876,0.5226,5.0988,0,0,100
"Professional occupations in law and social, community and government services (41)","364,000",6.5632,0.6446,5.5925,22,78,0
"Machine operators and supervisors in manufacturing and utilities (92, 94)","334,100",5.7241,0.5783,5.0586,0,8,92
"Occupations in art, culture, recreation and sports (51, 52)","311,500",6.036,0.6035,5.2657,38,28,34
Computer and information systems professionals (217),"307,600",6.5877,0.5513,5.9195,100,0,0
Assisting occupations in support of health services (34),"294,500",5.6644,0.6101,4.924,0,0,100
Technical occupations in health (32),"292,600",5.8853,0.6244,5.0736,14,17,69
Professional occupations in nursing (30),"289,000",6.166,0.6995,5.0834,0,100,0
"Natural resources, agriculture and related production occupations (8)","246,000",5.4174,0.5742,4.7974,0,0,100
"Engineers (213, 214)","203,900",6.5441,0.6337,5.6093,13,87,0
"Trades helpers, construction labourers and related occupations (76)","174,700",5.3877,0.6018,4.7027,0,0,100
Professional occupations in health (except nursing) (31),"155,100",6.306,0.7283,5.1119,0,87,13
"Physical and life science professionals (211, 212)","53,500",6.3801,0.6588,5.3913,2,98,0
"Architects and statisticians (215, 216)","41,000",6.5368,0.6374,5.594,29,71,0
