"REF_DATE","GEO","DGUID","Institution type","Program type","Credential type","Field of study","Registration status","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019/2020","British Columbia","2021A000259","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, registration status","Total, gender","Number","223","units","0","v79559055","11.1.1.1.1.1.1","297432","","","","0"
"2020/2021","British Columbia","2021A000259","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, registration status","Total, gender","Number","223","units","0","v79559055","11.1.1.1.1.1.1","287523","","","","0"
"2021/2022","British Columbia","2021A000259","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, registration status","Total, gender","Number","223","units","0","v79559055","11.1.1.1.1.1.1","285921","","","","0"
"2022/2023","British Columbia","2021A000259","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, registration status","Total, gender","Number","223","units","0","v79559055","11.1.1.1.1.1.1","286071","","","","0"
"2023/2024","British Columbia","2021A000259","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, registration status","Total, gender","Number","223","units","0","v79559055","11.1.1.1.1.1.1","297645","","","","0"
"2019/2020","British Columbia","2021A000259","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, registration status","Total, gender","Number","223","units","0","v79559067","11.1.1.1.2.1.1","9867","","","","0"
"2020/2021","British Columbia","2021A000259","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, registration status","Total, gender","Number","223","units","0","v79559067","11.1.1.1.2.1.1","5409","","","","0"
"2021/2022","British Columbia","2021A000259","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, registration status","Total, gender","Number","223","units","0","v79559067","11.1.1.1.2.1.1","5574","","","","0"
"2022/2023","British Columbia","2021A000259","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, registration status","Total, gender","Number","223","units","0","v79559067","11.1.1.1.2.1.1","5418","","","","0"
"2023/2024","British Columbia","2021A000259","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, registration status","Total, gender","Number","223","units","0","v79559067","11.1.1.1.2.1.1","6864","","","","0"
