"REF_DATE","GEO","DGUID","Institution type","Program type","Credential type","Field of study","Registration status","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019/2020","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, registration status","Total, gender","Number","223","units","0","v79532472","8.1.1.1.1.1.1","65037","","","","0"
"2020/2021","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, registration status","Total, gender","Number","223","units","0","v79532472","8.1.1.1.1.1.1","63363","","","","0"
"2021/2022","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, registration status","Total, gender","Number","223","units","0","v79532472","8.1.1.1.1.1.1","67023","","","","0"
"2022/2023","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, registration status","Total, gender","Number","223","units","0","v79532472","8.1.1.1.1.1.1","63228","","","","0"
"2023/2024","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, registration status","Total, gender","Number","223","units","0","v79532472","8.1.1.1.1.1.1","66492","","","","0"
"2019/2020","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, registration status","Total, gender","Number","223","units","0","v79532484","8.1.1.1.2.1.1","1128","","","","0"
"2020/2021","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, registration status","Total, gender","Number","223","units","0","v79532484","8.1.1.1.2.1.1","828","","","","0"
"2021/2022","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, registration status","Total, gender","Number","223","units","0","v79532484","8.1.1.1.2.1.1","1368","","","","0"
"2022/2023","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, registration status","Total, gender","Number","223","units","0","v79532484","8.1.1.1.2.1.1","1206","","","","0"
"2023/2024","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, registration status","Total, gender","Number","223","units","0","v79532484","8.1.1.1.2.1.1","1977","","","","0"
"2019/2020","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, registration status","Total, gender","Number","223","units","0","v79532496","8.1.1.1.3.1.1","4356","","","","0"
"2020/2021","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, registration status","Total, gender","Number","223","units","0","v79532496","8.1.1.1.3.1.1","4323","","","","0"
"2021/2022","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, registration status","Total, gender","Number","223","units","0","v79532496","8.1.1.1.3.1.1","4722","","","","0"
"2022/2023","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, registration status","Total, gender","Number","223","units","0","v79532496","8.1.1.1.3.1.1","4455","","","","0"
"2023/2024","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, registration status","Total, gender","Number","223","units","0","v79532496","8.1.1.1.3.1.1","4536","","","","0"
"2019/2020","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, registration status","Total, gender","Number","223","units","0","v79532508","8.1.1.1.4.1.1","1434","","","","0"
"2020/2021","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, registration status","Total, gender","Number","223","units","0","v79532508","8.1.1.1.4.1.1","1386","","","","0"
"2021/2022","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, registration status","Total, gender","Number","223","units","0","v79532508","8.1.1.1.4.1.1","1419","","","","0"
"2022/2023","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, registration status","Total, gender","Number","223","units","0","v79532508","8.1.1.1.4.1.1","1341","","","","0"
"2023/2024","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, registration status","Total, gender","Number","223","units","0","v79532508","8.1.1.1.4.1.1","1371","","","","0"
"2019/2020","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, registration status","Total, gender","Number","223","units","0","v79532520","8.1.1.1.5.1.1","11667","","","","0"
"2020/2021","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, registration status","Total, gender","Number","223","units","0","v79532520","8.1.1.1.5.1.1","11781","","","","0"
"2021/2022","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, registration status","Total, gender","Number","223","units","0","v79532520","8.1.1.1.5.1.1","11688","","","","0"
"2022/2023","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, registration status","Total, gender","Number","223","units","0","v79532520","8.1.1.1.5.1.1","9768","","","","0"
"2023/2024","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, registration status","Total, gender","Number","223","units","0","v79532520","8.1.1.1.5.1.1","10665","","","","0"
"2019/2020","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Social and behavioural sciences and law [4]","Total, registration status","Total, gender","Number","223","units","0","v79532532","8.1.1.1.6.1.1","7392","","","","0"
"2020/2021","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Social and behavioural sciences and law [4]","Total, registration status","Total, gender","Number","223","units","0","v79532532","8.1.1.1.6.1.1","7248","","","","0"
"2021/2022","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Social and behavioural sciences and law [4]","Total, registration status","Total, gender","Number","223","units","0","v79532532","8.1.1.1.6.1.1","7533","","","","0"
"2022/2023","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Social and behavioural sciences and law [4]","Total, registration status","Total, gender","Number","223","units","0","v79532532","8.1.1.1.6.1.1","7446","","","","0"
"2023/2024","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Social and behavioural sciences and law [4]","Total, registration status","Total, gender","Number","223","units","0","v79532532","8.1.1.1.6.1.1","7623","","","","0"
"2019/2020","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Business, management and public administration [5]","Total, registration status","Total, gender","Number","223","units","0","v79532544","8.1.1.1.7.1.1","9210","","","","0"
"2020/2021","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Business, management and public administration [5]","Total, registration status","Total, gender","Number","223","units","0","v79532544","8.1.1.1.7.1.1","8514","","","","0"
"2021/2022","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Business, management and public administration [5]","Total, registration status","Total, gender","Number","223","units","0","v79532544","8.1.1.1.7.1.1","9630","","","","0"
"2022/2023","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Business, management and public administration [5]","Total, registration status","Total, gender","Number","223","units","0","v79532544","8.1.1.1.7.1.1","9636","","","","0"
"2023/2024","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Business, management and public administration [5]","Total, registration status","Total, gender","Number","223","units","0","v79532544","8.1.1.1.7.1.1","9741","","","","0"
"2019/2020","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Physical and life sciences and technologies [6]","Total, registration status","Total, gender","Number","223","units","0","v79532556","8.1.1.1.8.1.1","7131","","","","0"
"2020/2021","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Physical and life sciences and technologies [6]","Total, registration status","Total, gender","Number","223","units","0","v79532556","8.1.1.1.8.1.1","7473","","","","0"
"2021/2022","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Physical and life sciences and technologies [6]","Total, registration status","Total, gender","Number","223","units","0","v79532556","8.1.1.1.8.1.1","7629","","","","0"
"2022/2023","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Physical and life sciences and technologies [6]","Total, registration status","Total, gender","Number","223","units","0","v79532556","8.1.1.1.8.1.1","7119","","","","0"
"2023/2024","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Physical and life sciences and technologies [6]","Total, registration status","Total, gender","Number","223","units","0","v79532556","8.1.1.1.8.1.1","7443","","","","0"
"2019/2020","Manitoba","2021A000246","Total, institution type","Total, program type","Total, credential type","Mathematics, computer and information sciences [7]","Total, registration status","Total, gender","Number","223","units","0","v79532568","8.1.1.1.9.1.1","3372","","","","0"
