"REF_DATE","GEO","DGUID","Institution type","Program type","Credential type","Field of study","Registration status","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019/2020","New Brunswick","2021A000213","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, registration status","Total, gender","Number","223","units","0","v79503806","5.1.1.1.1.1.1","27969","","","","0"
"2020/2021","New Brunswick","2021A000213","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, registration status","Total, gender","Number","223","units","0","v79503806","5.1.1.1.1.1.1","26916","","","","0"
"2021/2022","New Brunswick","2021A000213","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, registration status","Total, gender","Number","223","units","0","v79503806","5.1.1.1.1.1.1","28191","","","","0"
"2022/2023","New Brunswick","2021A000213","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, registration status","Total, gender","Number","223","units","0","v79503806","5.1.1.1.1.1.1","29256","","","","0"
"2023/2024","New Brunswick","2021A000213","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, registration status","Total, gender","Number","223","units","0","v79503806","5.1.1.1.1.1.1","31950","","","","0"
"2019/2020","New Brunswick","2021A000213","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, registration status","Total, gender","Number","223","units","0","v79503818","5.1.1.1.2.1.1","462","","","","0"
"2020/2021","New Brunswick","2021A000213","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, registration status","Total, gender","Number","223","units","0","v79503818","5.1.1.1.2.1.1","249","","","","0"
"2021/2022","New Brunswick","2021A000213","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, registration status","Total, gender","Number","223","units","0","v79503818","5.1.1.1.2.1.1","390","","","","0"
"2022/2023","New Brunswick","2021A000213","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, registration status","Total, gender","Number","223","units","0","v79503818","5.1.1.1.2.1.1","720","","","","0"
"2023/2024","New Brunswick","2021A000213","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, registration status","Total, gender","Number","223","units","0","v79503818","5.1.1.1.2.1.1","399","","","","0"
"2019/2020","New Brunswick","2021A000213","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, registration status","Total, gender","Number","223","units","0","v79503826","5.1.1.1.3.1.1","1776","","","","0"
"2020/2021","New Brunswick","2021A000213","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, registration status","Total, gender","Number","223","units","0","v79503826","5.1.1.1.3.1.1","1716","","","","0"
"2021/2022","New Brunswick","2021A000213","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, registration status","Total, gender","Number","223","units","0","v79503826","5.1.1.1.3.1.1","1902","","","","0"
"2022/2023","New Brunswick","2021A000213","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, registration status","Total, gender","Number","223","units","0","v79503826","5.1.1.1.3.1.1","2040","","","","0"
"2023/2024","New Brunswick","2021A000213","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, registration status","Total, gender","Number","223","units","0","v79503826","5.1.1.1.3.1.1","2073","","","","0"
"2019/2020","New Brunswick","2021A000213","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, registration status","Total, gender","Number","223","units","0","v79503838","5.1.1.1.4.1.1","744","","","","0"
"2020/2021","New Brunswick","2021A000213","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, registration status","Total, gender","Number","223","units","0","v79503838","5.1.1.1.4.1.1","720","","","","0"
"2021/2022","New Brunswick","2021A000213","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, registration status","Total, gender","Number","223","units","0","v79503838","5.1.1.1.4.1.1","930","","","","0"
"2022/2023","New Brunswick","2021A000213","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, registration status","Total, gender","Number","223","units","0","v79503838","5.1.1.1.4.1.1","975","","","","0"
"2023/2024","New Brunswick","2021A000213","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, registration status","Total, gender","Number","223","units","0","v79503838","5.1.1.1.4.1.1","993","","","","0"
"2019/2020","New Brunswick","2021A000213","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, registration status","Total, gender","Number","223","units","0","v79503850","5.1.1.1.5.1.1","3171","","","","0"
"2020/2021","New Brunswick","2021A000213","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, registration status","Total, gender","Number","223","units","0","v79503850","5.1.1.1.5.1.1","3084","","","","0"
"2021/2022","New Brunswick","2021A000213","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, registration status","Total, gender","Number","223","units","0","v79503850","5.1.1.1.5.1.1","2814","","","","0"
"2022/2023","New Brunswick","2021A000213","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, registration status","Total, gender","Number","223","units","0","v79503850","5.1.1.1.5.1.1","2727","","","","0"
"2023/2024","New Brunswick","2021A000213","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, registration status","Total, gender","Number","223","units","0","v79503850","5.1.1.1.5.1.1","3540","","","","0"
"2019/2020","New Brunswick","2021A000213","Total, institution type","Total, program type","Total, credential type","Social and behavioural sciences and law [4]","Total, registration status","Total, gender","Number","223","units","0","v79503862","5.1.1.1.6.1.1","3171","","","","0"
"2020/2021","New Brunswick","2021A000213","Total, institution type","Total, program type","Total, credential type","Social and behavioural sciences and law [4]","Total, registration status","Total, gender","Number","223","units","0","v79503862","5.1.1.1.6.1.1","3261","","","","0"
"2021/2022","New Brunswick","2021A000213","Total, institution type","Total, program type","Total, credential type","Social and behavioural sciences and law [4]","Total, registration status","Total, gender","Number","223","units","0","v79503862","5.1.1.1.6.1.1","3429","","","","0"
"2022/2023","New Brunswick","2021A000213","Total, institution type","Total, program type","Total, credential type","Social and behavioural sciences and law [4]","Total, registration status","Total, gender","Number","223","units","0","v79503862","5.1.1.1.6.1.1","3450","","","","0"
"2023/2024","New Brunswick","2021A000213","Total, institution type","Total, program type","Total, credential type","Social and behavioural sciences and law [4]","Total, registration status","Total, gender","Number","223","units","0","v79503862","5.1.1.1.6.1.1","3702","","","","0"
