"REF_DATE","GEO","DGUID","Institution type","Program type","Credential type","Field of study","Registration status","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019/2020","Newfoundland and Labrador","2021A000210","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, registration status","Total, gender","Number","223","units","0","v79486220","2.1.1.1.1.1.1","25083","","","","0"
"2020/2021","Newfoundland and Labrador","2021A000210","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, registration status","Total, gender","Number","223","units","0","v79486220","2.1.1.1.1.1.1","26181","","","","0"
"2021/2022","Newfoundland and Labrador","2021A000210","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, registration status","Total, gender","Number","223","units","0","v79486220","2.1.1.1.1.1.1","26130","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, registration status","Total, gender","Number","223","units","0","v79486220","2.1.1.1.1.1.1","27537","","","","0"
"2023/2024","Newfoundland and Labrador","2021A000210","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, registration status","Total, gender","Number","223","units","0","v79486220","2.1.1.1.1.1.1","27177","","","","0"
"2019/2020","Newfoundland and Labrador","2021A000210","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, registration status","Total, gender","Number","223","units","0","v79486232","2.1.1.1.2.1.1","3","","","","0"
"2020/2021","Newfoundland and Labrador","2021A000210","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, registration status","Total, gender","Number","223","units","0","v79486232","2.1.1.1.2.1.1","3","","","","0"
"2021/2022","Newfoundland and Labrador","2021A000210","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, registration status","Total, gender","Number","223","units","0","v79486232","2.1.1.1.2.1.1","9","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, registration status","Total, gender","Number","223","units","0","v79486232","2.1.1.1.2.1.1","0","","","","0"
"2023/2024","Newfoundland and Labrador","2021A000210","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, registration status","Total, gender","Number","223","units","0","v79486232","2.1.1.1.2.1.1","0","","","","0"
"2019/2020","Newfoundland and Labrador","2021A000210","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, registration status","Total, gender","Number","223","units","0","v79486243","2.1.1.1.3.1.1","1239","","","","0"
"2020/2021","Newfoundland and Labrador","2021A000210","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, registration status","Total, gender","Number","223","units","0","v79486243","2.1.1.1.3.1.1","1281","","","","0"
"2021/2022","Newfoundland and Labrador","2021A000210","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, registration status","Total, gender","Number","223","units","0","v79486243","2.1.1.1.3.1.1","1377","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, registration status","Total, gender","Number","223","units","0","v79486243","2.1.1.1.3.1.1","1302","","","","0"
"2023/2024","Newfoundland and Labrador","2021A000210","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, registration status","Total, gender","Number","223","units","0","v79486243","2.1.1.1.3.1.1","1557","","","","0"
"2019/2020","Newfoundland and Labrador","2021A000210","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, registration status","Total, gender","Number","223","units","0","v79486255","2.1.1.1.4.1.1","564","","","","0"
"2020/2021","Newfoundland and Labrador","2021A000210","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, registration status","Total, gender","Number","223","units","0","v79486255","2.1.1.1.4.1.1","591","","","","0"
"2021/2022","Newfoundland and Labrador","2021A000210","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, registration status","Total, gender","Number","223","units","0","v79486255","2.1.1.1.4.1.1","552","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, registration status","Total, gender","Number","223","units","0","v79486255","2.1.1.1.4.1.1","579","","","","0"
"2023/2024","Newfoundland and Labrador","2021A000210","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, registration status","Total, gender","Number","223","units","0","v79486255","2.1.1.1.4.1.1","594","","","","0"
"2019/2020","Newfoundland and Labrador","2021A000210","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, registration status","Total, gender","Number","223","units","0","v79486264","2.1.1.1.5.1.1","2976","","","","0"
"2020/2021","Newfoundland and Labrador","2021A000210","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, registration status","Total, gender","Number","223","units","0","v79486264","2.1.1.1.5.1.1","3027","","","","0"
"2021/2022","Newfoundland and Labrador","2021A000210","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, registration status","Total, gender","Number","223","units","0","v79486264","2.1.1.1.5.1.1","2898","","","","0"
"2022/2023","Newfoundland and Labrador","2021A000210","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, registration status","Total, gender","Number","223","units","0","v79486264","2.1.1.1.5.1.1","2574","","","","0"
