"REF_DATE","GEO","DGUID","Institution type","Program type","Credential type","Field of study","Registration status","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019/2020","Prince Edward Island","2021A000211","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, registration status","Total, gender","Number","223","units","0","v79491891","3.1.1.1.1.1.1","8358","","","","0"
"2020/2021","Prince Edward Island","2021A000211","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, registration status","Total, gender","Number","223","units","0","v79491891","3.1.1.1.1.1.1","8553","","","","0"
"2021/2022","Prince Edward Island","2021A000211","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, registration status","Total, gender","Number","223","units","0","v79491891","3.1.1.1.1.1.1","8754","","","","0"
"2022/2023","Prince Edward Island","2021A000211","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, registration status","Total, gender","Number","223","units","0","v79491891","3.1.1.1.1.1.1","8946","","","","0"
"2023/2024","Prince Edward Island","2021A000211","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, registration status","Total, gender","Number","223","units","0","v79491891","3.1.1.1.1.1.1","10278","","","","0"
"2019/2020","Prince Edward Island","2021A000211","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, registration status","Total, gender","Number","223","units","0","v79491903","3.1.1.1.2.1.1","585","","","","0"
"2020/2021","Prince Edward Island","2021A000211","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, registration status","Total, gender","Number","223","units","0","v79491903","3.1.1.1.2.1.1","483","","","","0"
"2021/2022","Prince Edward Island","2021A000211","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, registration status","Total, gender","Number","223","units","0","v79491903","3.1.1.1.2.1.1","375","","","","0"
"2022/2023","Prince Edward Island","2021A000211","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, registration status","Total, gender","Number","223","units","0","v79491903","3.1.1.1.2.1.1","360","","","","0"
"2023/2024","Prince Edward Island","2021A000211","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, registration status","Total, gender","Number","223","units","0","v79491903","3.1.1.1.2.1.1","426","","","","0"
"2019/2020","Prince Edward Island","2021A000211","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, registration status","Total, gender","Number","223","units","0","v79491914","3.1.1.1.3.1.1","375","","","","0"
"2020/2021","Prince Edward Island","2021A000211","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, registration status","Total, gender","Number","223","units","0","v79491914","3.1.1.1.3.1.1","369","","","","0"
"2021/2022","Prince Edward Island","2021A000211","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, registration status","Total, gender","Number","223","units","0","v79491914","3.1.1.1.3.1.1","363","","","","0"
"2022/2023","Prince Edward Island","2021A000211","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, registration status","Total, gender","Number","223","units","0","v79491914","3.1.1.1.3.1.1","384","","","","0"
"2023/2024","Prince Edward Island","2021A000211","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, registration status","Total, gender","Number","223","units","0","v79491914","3.1.1.1.3.1.1","372","","","","0"
"2019/2020","Prince Edward Island","2021A000211","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, registration status","Total, gender","Number","223","units","0","v79491925","3.1.1.1.4.1.1","222","","","","0"
"2020/2021","Prince Edward Island","2021A000211","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, registration status","Total, gender","Number","223","units","0","v79491925","3.1.1.1.4.1.1","192","","","","0"
"2021/2022","Prince Edward Island","2021A000211","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, registration status","Total, gender","Number","223","units","0","v79491925","3.1.1.1.4.1.1","183","","","","0"
"2022/2023","Prince Edward Island","2021A000211","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, registration status","Total, gender","Number","223","units","0","v79491925","3.1.1.1.4.1.1","201","","","","0"
"2023/2024","Prince Edward Island","2021A000211","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, registration status","Total, gender","Number","223","units","0","v79491925","3.1.1.1.4.1.1","216","","","","0"
"2019/2020","Prince Edward Island","2021A000211","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, registration status","Total, gender","Number","223","units","0","v79491936","3.1.1.1.5.1.1","270","","","","0"
"2020/2021","Prince Edward Island","2021A000211","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, registration status","Total, gender","Number","223","units","0","v79491936","3.1.1.1.5.1.1","225","","","","0"
"2021/2022","Prince Edward Island","2021A000211","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, registration status","Total, gender","Number","223","units","0","v79491936","3.1.1.1.5.1.1","210","","","","0"
"2022/2023","Prince Edward Island","2021A000211","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, registration status","Total, gender","Number","223","units","0","v79491936","3.1.1.1.5.1.1","192","","","","0"
"2023/2024","Prince Edward Island","2021A000211","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, registration status","Total, gender","Number","223","units","0","v79491936","3.1.1.1.5.1.1","219","","","","0"
"2019/2020","Prince Edward Island","2021A000211","Total, institution type","Total, program type","Total, credential type","Social and behavioural sciences and law [4]","Total, registration status","Total, gender","Number","223","units","0","v79491945","3.1.1.1.6.1.1","957","","","","0"
"2020/2021","Prince Edward Island","2021A000211","Total, institution type","Total, program type","Total, credential type","Social and behavioural sciences and law [4]","Total, registration status","Total, gender","Number","223","units","0","v79491945","3.1.1.1.6.1.1","1152","","","","0"
"2021/2022","Prince Edward Island","2021A000211","Total, institution type","Total, program type","Total, credential type","Social and behavioural sciences and law [4]","Total, registration status","Total, gender","Number","223","units","0","v79491945","3.1.1.1.6.1.1","1239","","","","0"
"2022/2023","Prince Edward Island","2021A000211","Total, institution type","Total, program type","Total, credential type","Social and behavioural sciences and law [4]","Total, registration status","Total, gender","Number","223","units","0","v79491945","3.1.1.1.6.1.1","1275","","","","0"
"2023/2024","Prince Edward Island","2021A000211","Total, institution type","Total, program type","Total, credential type","Social and behavioural sciences and law [4]","Total, registration status","Total, gender","Number","223","units","0","v79491945","3.1.1.1.6.1.1","1353","","","","0"
"2019/2020","Prince Edward Island","2021A000211","Total, institution type","Total, program type","Total, credential type","Business, management and public administration [5]","Total, registration status","Total, gender","Number","223","units","0","v79491954","3.1.1.1.7.1.1","1515","","","","0"
"2020/2021","Prince Edward Island","2021A000211","Total, institution type","Total, program type","Total, credential type","Business, management and public administration [5]","Total, registration status","Total, gender","Number","223","units","0","v79491954","3.1.1.1.7.1.1","1620","","","","0"
"2021/2022","Prince Edward Island","2021A000211","Total, institution type","Total, program type","Total, credential type","Business, management and public administration [5]","Total, registration status","Total, gender","Number","223","units","0","v79491954","3.1.1.1.7.1.1","1623","","","","0"
"2022/2023","Prince Edward Island","2021A000211","Total, institution type","Total, program type","Total, credential type","Business, management and public administration [5]","Total, registration status","Total, gender","Number","223","units","0","v79491954","3.1.1.1.7.1.1","1614","","","","0"
"2023/2024","Prince Edward Island","2021A000211","Total, institution type","Total, program type","Total, credential type","Business, management and public administration [5]","Total, registration status","Total, gender","Number","223","units","0","v79491954","3.1.1.1.7.1.1","1713","","","","0"
"2019/2020","Prince Edward Island","2021A000211","Total, institution type","Total, program type","Total, credential type","Physical and life sciences and technologies [6]","Total, registration status","Total, gender","Number","223","units","0","v79491966","3.1.1.1.8.1.1","537","","","","0"
"2020/2021","Prince Edward Island","2021A000211","Total, institution type","Total, program type","Total, credential type","Physical and life sciences and technologies [6]","Total, registration status","Total, gender","Number","223","units","0","v79491966","3.1.1.1.8.1.1","651","","","","0"
"2021/2022","Prince Edward Island","2021A000211","Total, institution type","Total, program type","Total, credential type","Physical and life sciences and technologies [6]","Total, registration status","Total, gender","Number","223","units","0","v79491966","3.1.1.1.8.1.1","714","","","","0"
"2022/2023","Prince Edward Island","2021A000211","Total, institution type","Total, program type","Total, credential type","Physical and life sciences and technologies [6]","Total, registration status","Total, gender","Number","223","units","0","v79491966","3.1.1.1.8.1.1","783","","","","0"
"2023/2024","Prince Edward Island","2021A000211","Total, institution type","Total, program type","Total, credential type","Physical and life sciences and technologies [6]","Total, registration status","Total, gender","Number","223","units","0","v79491966","3.1.1.1.8.1.1","816","","","","0"
"2019/2020","Prince Edward Island","2021A000211","Total, institution type","Total, program type","Total, credential type","Mathematics, computer and information sciences [7]","Total, registration status","Total, gender","Number","223","units","0","v79491975","3.1.1.1.9.1.1","378","","","","0"
"2020/2021","Prince Edward Island","2021A000211","Total, institution type","Total, program type","Total, credential type","Mathematics, computer and information sciences [7]","Total, registration status","Total, gender","Number","223","units","0","v79491975","3.1.1.1.9.1.1","432","","","","0"
"2021/2022","Prince Edward Island","2021A000211","Total, institution type","Total, program type","Total, credential type","Mathematics, computer and information sciences [7]","Total, registration status","Total, gender","Number","223","units","0","v79491975","3.1.1.1.9.1.1","486","","","","0"
"2022/2023","Prince Edward Island","2021A000211","Total, institution type","Total, program type","Total, credential type","Mathematics, computer and information sciences [7]","Total, registration status","Total, gender","Number","223","units","0","v79491975","3.1.1.1.9.1.1","540","","","","0"
