"REF_DATE","GEO","DGUID","Institution type","Program type","Credential type","Field of study","Registration status","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019/2020","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, registration status","Total, gender","Number","223","units","0","v79518505","7.1.1.1.1.1.1","907641","","","","0"
"2020/2021","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, registration status","Total, gender","Number","223","units","0","v79518505","7.1.1.1.1.1.1","903780","","","","0"
"2021/2022","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, registration status","Total, gender","Number","223","units","0","v79518505","7.1.1.1.1.1.1","920145","","","","0"
"2022/2023","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, registration status","Total, gender","Number","223","units","0","v79518505","7.1.1.1.1.1.1","940722","","","","0"
"2023/2024","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, registration status","Total, gender","Number","223","units","0","v79518505","7.1.1.1.1.1.1","1019763","","","","0"
"2019/2020","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, registration status","Total, gender","Number","223","units","0","v79518517","7.1.1.1.2.1.1","1134","","","","0"
"2020/2021","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, registration status","Total, gender","Number","223","units","0","v79518517","7.1.1.1.2.1.1","591","","","","0"
"2021/2022","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, registration status","Total, gender","Number","223","units","0","v79518517","7.1.1.1.2.1.1","429","","","","0"
"2022/2023","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, registration status","Total, gender","Number","223","units","0","v79518517","7.1.1.1.2.1.1","462","","","","0"
"2023/2024","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, registration status","Total, gender","Number","223","units","0","v79518517","7.1.1.1.2.1.1","471","","","","0"
"2019/2020","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, registration status","Total, gender","Number","223","units","0","v79518529","7.1.1.1.3.1.1","22815","","","","0"
"2020/2021","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, registration status","Total, gender","Number","223","units","0","v79518529","7.1.1.1.3.1.1","23535","","","","0"
"2021/2022","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, registration status","Total, gender","Number","223","units","0","v79518529","7.1.1.1.3.1.1","24831","","","","0"
"2022/2023","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, registration status","Total, gender","Number","223","units","0","v79518529","7.1.1.1.3.1.1","25065","","","","0"
"2023/2024","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, registration status","Total, gender","Number","223","units","0","v79518529","7.1.1.1.3.1.1","26364","","","","0"
"2019/2020","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, registration status","Total, gender","Number","223","units","0","v79518541","7.1.1.1.4.1.1","39285","","","","0"
"2020/2021","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, registration status","Total, gender","Number","223","units","0","v79518541","7.1.1.1.4.1.1","37569","","","","0"
"2021/2022","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, registration status","Total, gender","Number","223","units","0","v79518541","7.1.1.1.4.1.1","37293","","","","0"
"2022/2023","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, registration status","Total, gender","Number","223","units","0","v79518541","7.1.1.1.4.1.1","37179","","","","0"
"2023/2024","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, registration status","Total, gender","Number","223","units","0","v79518541","7.1.1.1.4.1.1","38955","","","","0"
"2019/2020","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, registration status","Total, gender","Number","223","units","0","v79518553","7.1.1.1.5.1.1","60744","","","","0"
"2020/2021","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, registration status","Total, gender","Number","223","units","0","v79518553","7.1.1.1.5.1.1","59139","","","","0"
"2021/2022","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, registration status","Total, gender","Number","223","units","0","v79518553","7.1.1.1.5.1.1","57354","","","","0"
"2022/2023","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, registration status","Total, gender","Number","223","units","0","v79518553","7.1.1.1.5.1.1","55047","","","","0"
"2023/2024","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, registration status","Total, gender","Number","223","units","0","v79518553","7.1.1.1.5.1.1","58236","","","","0"
"2019/2020","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Social and behavioural sciences and law [4]","Total, registration status","Total, gender","Number","223","units","0","v79518565","7.1.1.1.6.1.1","146625","","","","0"
"2020/2021","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Social and behavioural sciences and law [4]","Total, registration status","Total, gender","Number","223","units","0","v79518565","7.1.1.1.6.1.1","150084","","","","0"
"2021/2022","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Social and behavioural sciences and law [4]","Total, registration status","Total, gender","Number","223","units","0","v79518565","7.1.1.1.6.1.1","148206","","","","0"
"2022/2023","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Social and behavioural sciences and law [4]","Total, registration status","Total, gender","Number","223","units","0","v79518565","7.1.1.1.6.1.1","145617","","","","0"
"2023/2024","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Social and behavioural sciences and law [4]","Total, registration status","Total, gender","Number","223","units","0","v79518565","7.1.1.1.6.1.1","150486","","","","0"
"2019/2020","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Business, management and public administration [5]","Total, registration status","Total, gender","Number","223","units","0","v79518577","7.1.1.1.7.1.1","176886","","","","0"
"2020/2021","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Business, management and public administration [5]","Total, registration status","Total, gender","Number","223","units","0","v79518577","7.1.1.1.7.1.1","180876","","","","0"
"2021/2022","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Business, management and public administration [5]","Total, registration status","Total, gender","Number","223","units","0","v79518577","7.1.1.1.7.1.1","187317","","","","0"
"2022/2023","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Business, management and public administration [5]","Total, registration status","Total, gender","Number","223","units","0","v79518577","7.1.1.1.7.1.1","201798","","","","0"
"2023/2024","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Business, management and public administration [5]","Total, registration status","Total, gender","Number","223","units","0","v79518577","7.1.1.1.7.1.1","234951","","","","0"
"2019/2020","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Physical and life sciences and technologies [6]","Total, registration status","Total, gender","Number","223","units","0","v79518589","7.1.1.1.8.1.1","72108","","","","0"
"2020/2021","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Physical and life sciences and technologies [6]","Total, registration status","Total, gender","Number","223","units","0","v79518589","7.1.1.1.8.1.1","73275","","","","0"
"2021/2022","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Physical and life sciences and technologies [6]","Total, registration status","Total, gender","Number","223","units","0","v79518589","7.1.1.1.8.1.1","75150","","","","0"
"2022/2023","Ontario","2021A000235","Total, institution type","Total, program type","Total, credential type","Physical and life sciences and technologies [6]","Total, registration status","Total, gender","Number","223","units","0","v79518589","7.1.1.1.8.1.1","76026","","","","0"
