"REF_DATE","GEO","DGUID","Institution type","Program type","Credential type","Field of study","Registration status","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019/2020","Quebec","2021A000224","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, registration status","Total, gender","Number","223","units","0","v79510610","6.1.1.1.1.1.1","529743","","","","0"
"2020/2021","Quebec","2021A000224","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, registration status","Total, gender","Number","223","units","0","v79510610","6.1.1.1.1.1.1","539385","","","","0"
"2021/2022","Quebec","2021A000224","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, registration status","Total, gender","Number","223","units","0","v79510610","6.1.1.1.1.1.1","539103","","","","0"
"2022/2023","Quebec","2021A000224","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, registration status","Total, gender","Number","223","units","0","v79510610","6.1.1.1.1.1.1","531651","","","","0"
"2023/2024","Quebec","2021A000224","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, registration status","Total, gender","Number","223","units","0","v79510610","6.1.1.1.1.1.1","545640","","","","0"
"2019/2020","Quebec","2021A000224","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, registration status","Total, gender","Number","223","units","0","v79510619","6.1.1.1.2.1.1","0","","","","0"
"2020/2021","Quebec","2021A000224","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, registration status","Total, gender","Number","223","units","0","v79510619","6.1.1.1.2.1.1","3","","","","0"
"2019/2020","Quebec","2021A000224","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, registration status","Total, gender","Number","223","units","0","v79510628","6.1.1.1.3.1.1","36651","","","","0"
"2020/2021","Quebec","2021A000224","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, registration status","Total, gender","Number","223","units","0","v79510628","6.1.1.1.3.1.1","38475","","","","0"
"2021/2022","Quebec","2021A000224","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, registration status","Total, gender","Number","223","units","0","v79510628","6.1.1.1.3.1.1","39666","","","","0"
"2022/2023","Quebec","2021A000224","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, registration status","Total, gender","Number","223","units","0","v79510628","6.1.1.1.3.1.1","39075","","","","0"
"2023/2024","Quebec","2021A000224","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, registration status","Total, gender","Number","223","units","0","v79510628","6.1.1.1.3.1.1","40620","","","","0"
"2019/2020","Quebec","2021A000224","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, registration status","Total, gender","Number","223","units","0","v79510637","6.1.1.1.4.1.1","23280","","","","0"
"2020/2021","Quebec","2021A000224","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, registration status","Total, gender","Number","223","units","0","v79510637","6.1.1.1.4.1.1","23949","","","","0"
"2021/2022","Quebec","2021A000224","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, registration status","Total, gender","Number","223","units","0","v79510637","6.1.1.1.4.1.1","23994","","","","0"
"2022/2023","Quebec","2021A000224","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, registration status","Total, gender","Number","223","units","0","v79510637","6.1.1.1.4.1.1","24138","","","","0"
"2023/2024","Quebec","2021A000224","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, registration status","Total, gender","Number","223","units","0","v79510637","6.1.1.1.4.1.1","25173","","","","0"
"2019/2020","Quebec","2021A000224","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, registration status","Total, gender","Number","223","units","0","v79510646","6.1.1.1.5.1.1","77022","","","","0"
"2020/2021","Quebec","2021A000224","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, registration status","Total, gender","Number","223","units","0","v79510646","6.1.1.1.5.1.1","77373","","","","0"
"2021/2022","Quebec","2021A000224","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, registration status","Total, gender","Number","223","units","0","v79510646","6.1.1.1.5.1.1","75147","","","","0"
"2022/2023","Quebec","2021A000224","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, registration status","Total, gender","Number","223","units","0","v79510646","6.1.1.1.5.1.1","72525","","","","0"
"2023/2024","Quebec","2021A000224","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, registration status","Total, gender","Number","223","units","0","v79510646","6.1.1.1.5.1.1","72966","","","","0"
"2019/2020","Quebec","2021A000224","Total, institution type","Total, program type","Total, credential type","Social and behavioural sciences and law [4]","Total, registration status","Total, gender","Number","223","units","0","v79510655","6.1.1.1.6.1.1","64341","","","","0"
"2020/2021","Quebec","2021A000224","Total, institution type","Total, program type","Total, credential type","Social and behavioural sciences and law [4]","Total, registration status","Total, gender","Number","223","units","0","v79510655","6.1.1.1.6.1.1","66264","","","","0"
"2021/2022","Quebec","2021A000224","Total, institution type","Total, program type","Total, credential type","Social and behavioural sciences and law [4]","Total, registration status","Total, gender","Number","223","units","0","v79510655","6.1.1.1.6.1.1","65811","","","","0"
"2022/2023","Quebec","2021A000224","Total, institution type","Total, program type","Total, credential type","Social and behavioural sciences and law [4]","Total, registration status","Total, gender","Number","223","units","0","v79510655","6.1.1.1.6.1.1","63855","","","","0"
"2023/2024","Quebec","2021A000224","Total, institution type","Total, program type","Total, credential type","Social and behavioural sciences and law [4]","Total, registration status","Total, gender","Number","223","units","0","v79510655","6.1.1.1.6.1.1","64653","","","","0"
"2019/2020","Quebec","2021A000224","Total, institution type","Total, program type","Total, credential type","Business, management and public administration [5]","Total, registration status","Total, gender","Number","223","units","0","v79510664","6.1.1.1.7.1.1","104226","","","","0"
"2020/2021","Quebec","2021A000224","Total, institution type","Total, program type","Total, credential type","Business, management and public administration [5]","Total, registration status","Total, gender","Number","223","units","0","v79510664","6.1.1.1.7.1.1","107352","","","","0"
"2021/2022","Quebec","2021A000224","Total, institution type","Total, program type","Total, credential type","Business, management and public administration [5]","Total, registration status","Total, gender","Number","223","units","0","v79510664","6.1.1.1.7.1.1","104304","","","","0"
"2022/2023","Quebec","2021A000224","Total, institution type","Total, program type","Total, credential type","Business, management and public administration [5]","Total, registration status","Total, gender","Number","223","units","0","v79510664","6.1.1.1.7.1.1","99591","","","","0"
"2023/2024","Quebec","2021A000224","Total, institution type","Total, program type","Total, credential type","Business, management and public administration [5]","Total, registration status","Total, gender","Number","223","units","0","v79510664","6.1.1.1.7.1.1","102477","","","","0"
"2019/2020","Quebec","2021A000224","Total, institution type","Total, program type","Total, credential type","Physical and life sciences and technologies [6]","Total, registration status","Total, gender","Number","223","units","0","v79510673","6.1.1.1.8.1.1","44697","","","","0"
"2020/2021","Quebec","2021A000224","Total, institution type","Total, program type","Total, credential type","Physical and life sciences and technologies [6]","Total, registration status","Total, gender","Number","223","units","0","v79510673","6.1.1.1.8.1.1","46089","","","","0"
"2021/2022","Quebec","2021A000224","Total, institution type","Total, program type","Total, credential type","Physical and life sciences and technologies [6]","Total, registration status","Total, gender","Number","223","units","0","v79510673","6.1.1.1.8.1.1","46950","","","","0"
"2022/2023","Quebec","2021A000224","Total, institution type","Total, program type","Total, credential type","Physical and life sciences and technologies [6]","Total, registration status","Total, gender","Number","223","units","0","v79510673","6.1.1.1.8.1.1","46797","","","","0"
"2023/2024","Quebec","2021A000224","Total, institution type","Total, program type","Total, credential type","Physical and life sciences and technologies [6]","Total, registration status","Total, gender","Number","223","units","0","v79510673","6.1.1.1.8.1.1","47829","","","","0"
"2019/2020","Quebec","2021A000224","Total, institution type","Total, program type","Total, credential type","Mathematics, computer and information sciences [7]","Total, registration status","Total, gender","Number","223","units","0","v79510682","6.1.1.1.9.1.1","22815","","","","0"
"2020/2021","Quebec","2021A000224","Total, institution type","Total, program type","Total, credential type","Mathematics, computer and information sciences [7]","Total, registration status","Total, gender","Number","223","units","0","v79510682","6.1.1.1.9.1.1","25263","","","","0"
"2021/2022","Quebec","2021A000224","Total, institution type","Total, program type","Total, credential type","Mathematics, computer and information sciences [7]","Total, registration status","Total, gender","Number","223","units","0","v79510682","6.1.1.1.9.1.1","27873","","","","0"
