"REF_DATE","GEO","DGUID","Institution type","Program type","Credential type","Field of study","Registration status","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019/2020","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, registration status","Total, gender","Number","223","units","0","v79541296","9.1.1.1.1.1.1","56784","","","","0"
"2020/2021","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, registration status","Total, gender","Number","223","units","0","v79541296","9.1.1.1.1.1.1","53085","","","","0"
"2021/2022","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, registration status","Total, gender","Number","223","units","0","v79541296","9.1.1.1.1.1.1","57804","","","","0"
"2022/2023","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, registration status","Total, gender","Number","223","units","0","v79541296","9.1.1.1.1.1.1","58176","","","","0"
"2023/2024","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, registration status","Total, gender","Number","223","units","0","v79541296","9.1.1.1.1.1.1","61401","","","","0"
"2019/2020","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, registration status","Total, gender","Number","223","units","0","v79541308","9.1.1.1.2.1.1","3438","","","","0"
"2020/2021","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, registration status","Total, gender","Number","223","units","0","v79541308","9.1.1.1.2.1.1","3084","","","","0"
"2021/2022","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, registration status","Total, gender","Number","223","units","0","v79541308","9.1.1.1.2.1.1","3096","","","","0"
"2022/2023","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, registration status","Total, gender","Number","223","units","0","v79541308","9.1.1.1.2.1.1","3111","","","","0"
"2023/2024","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, registration status","Total, gender","Number","223","units","0","v79541308","9.1.1.1.2.1.1","3456","","","","0"
"2019/2020","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, registration status","Total, gender","Number","223","units","0","v79541320","9.1.1.1.3.1.1","4350","","","","0"
"2020/2021","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, registration status","Total, gender","Number","223","units","0","v79541320","9.1.1.1.3.1.1","4608","","","","0"
"2021/2022","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, registration status","Total, gender","Number","223","units","0","v79541320","9.1.1.1.3.1.1","4767","","","","0"
"2022/2023","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, registration status","Total, gender","Number","223","units","0","v79541320","9.1.1.1.3.1.1","4674","","","","0"
"2023/2024","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, registration status","Total, gender","Number","223","units","0","v79541320","9.1.1.1.3.1.1","4485","","","","0"
"2019/2020","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, registration status","Total, gender","Number","223","units","0","v79541332","9.1.1.1.4.1.1","690","","","","0"
"2020/2021","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, registration status","Total, gender","Number","223","units","0","v79541332","9.1.1.1.4.1.1","633","","","","0"
"2021/2022","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, registration status","Total, gender","Number","223","units","0","v79541332","9.1.1.1.4.1.1","618","","","","0"
"2022/2023","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, registration status","Total, gender","Number","223","units","0","v79541332","9.1.1.1.4.1.1","615","","","","0"
"2023/2024","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, registration status","Total, gender","Number","223","units","0","v79541332","9.1.1.1.4.1.1","675","","","","0"
"2019/2020","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, registration status","Total, gender","Number","223","units","0","v79541341","9.1.1.1.5.1.1","4437","","","","0"
"2020/2021","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, registration status","Total, gender","Number","223","units","0","v79541341","9.1.1.1.5.1.1","4311","","","","0"
"2021/2022","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, registration status","Total, gender","Number","223","units","0","v79541341","9.1.1.1.5.1.1","3765","","","","0"
"2022/2023","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, registration status","Total, gender","Number","223","units","0","v79541341","9.1.1.1.5.1.1","3396","","","","0"
"2023/2024","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, registration status","Total, gender","Number","223","units","0","v79541341","9.1.1.1.5.1.1","3444","","","","0"
"2019/2020","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Social and behavioural sciences and law [4]","Total, registration status","Total, gender","Number","223","units","0","v79541353","9.1.1.1.6.1.1","4293","","","","0"
"2020/2021","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Social and behavioural sciences and law [4]","Total, registration status","Total, gender","Number","223","units","0","v79541353","9.1.1.1.6.1.1","4257","","","","0"
"2021/2022","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Social and behavioural sciences and law [4]","Total, registration status","Total, gender","Number","223","units","0","v79541353","9.1.1.1.6.1.1","4608","","","","0"
"2022/2023","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Social and behavioural sciences and law [4]","Total, registration status","Total, gender","Number","223","units","0","v79541353","9.1.1.1.6.1.1","4521","","","","0"
"2023/2024","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Social and behavioural sciences and law [4]","Total, registration status","Total, gender","Number","223","units","0","v79541353","9.1.1.1.6.1.1","4989","","","","0"
"2019/2020","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Business, management and public administration [5]","Total, registration status","Total, gender","Number","223","units","0","v79541365","9.1.1.1.7.1.1","7692","","","","0"
"2020/2021","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Business, management and public administration [5]","Total, registration status","Total, gender","Number","223","units","0","v79541365","9.1.1.1.7.1.1","8070","","","","0"
"2021/2022","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Business, management and public administration [5]","Total, registration status","Total, gender","Number","223","units","0","v79541365","9.1.1.1.7.1.1","8067","","","","0"
"2022/2023","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Business, management and public administration [5]","Total, registration status","Total, gender","Number","223","units","0","v79541365","9.1.1.1.7.1.1","8100","","","","0"
"2023/2024","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Business, management and public administration [5]","Total, registration status","Total, gender","Number","223","units","0","v79541365","9.1.1.1.7.1.1","8973","","","","0"
"2019/2020","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Physical and life sciences and technologies [6]","Total, registration status","Total, gender","Number","223","units","0","v79541377","9.1.1.1.8.1.1","4083","","","","0"
"2020/2021","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Physical and life sciences and technologies [6]","Total, registration status","Total, gender","Number","223","units","0","v79541377","9.1.1.1.8.1.1","4275","","","","0"
"2021/2022","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Physical and life sciences and technologies [6]","Total, registration status","Total, gender","Number","223","units","0","v79541377","9.1.1.1.8.1.1","4512","","","","0"
"2022/2023","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Physical and life sciences and technologies [6]","Total, registration status","Total, gender","Number","223","units","0","v79541377","9.1.1.1.8.1.1","4692","","","","0"
"2023/2024","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Physical and life sciences and technologies [6]","Total, registration status","Total, gender","Number","223","units","0","v79541377","9.1.1.1.8.1.1","4767","","","","0"
"2019/2020","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Mathematics, computer and information sciences [7]","Total, registration status","Total, gender","Number","223","units","0","v79541388","9.1.1.1.9.1.1","2241","","","","0"
"2020/2021","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Mathematics, computer and information sciences [7]","Total, registration status","Total, gender","Number","223","units","0","v79541388","9.1.1.1.9.1.1","2334","","","","0"
"2021/2022","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Mathematics, computer and information sciences [7]","Total, registration status","Total, gender","Number","223","units","0","v79541388","9.1.1.1.9.1.1","2334","","","","0"
"2022/2023","Saskatchewan","2021A000247","Total, institution type","Total, program type","Total, credential type","Mathematics, computer and information sciences [7]","Total, registration status","Total, gender","Number","223","units","0","v79541388","9.1.1.1.9.1.1","2619","","","","0"
