"REF_DATE","GEO","DGUID","Institution type","Program type","Credential type","Field of study","Registration status","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018/2019","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, registration status","Total, gender","Number","223","units","0","v79464902","1.1.1.1.1.1.1","2156142","","","","0"
"2019/2020","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, registration status","Total, gender","Number","223","units","0","v79464902","1.1.1.1.1.1.1","2183823","","","","0"
"2020/2021","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, registration status","Total, gender","Number","223","units","0","v79464902","1.1.1.1.1.1.1","2171730","","","","0"
"2021/2022","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, registration status","Total, gender","Number","223","units","0","v79464902","1.1.1.1.1.1.1","2197179","","","","0"
"2022/2023","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Total, field of study","Total, registration status","Total, gender","Number","223","units","0","v79464902","1.1.1.1.1.1.1","2211345","","","","0"
"2018/2019","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, registration status","Total, gender","Number","223","units","0","v79464914","1.1.1.1.2.1.1","21768","","","","0"
"2019/2020","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, registration status","Total, gender","Number","223","units","0","v79464914","1.1.1.1.2.1.1","21444","","","","0"
"2020/2021","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, registration status","Total, gender","Number","223","units","0","v79464914","1.1.1.1.2.1.1","14319","","","","0"
"2021/2022","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, registration status","Total, gender","Number","223","units","0","v79464914","1.1.1.1.2.1.1","14568","","","","0"
"2022/2023","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Personal improvement and leisure [0]","Total, registration status","Total, gender","Number","223","units","0","v79464914","1.1.1.1.2.1.1","15348","","","","0"
"2018/2019","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, registration status","Total, gender","Number","223","units","0","v79464926","1.1.1.1.3.1.1","92532","","","","0"
"2019/2020","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, registration status","Total, gender","Number","223","units","0","v79464926","1.1.1.1.3.1.1","95442","","","","0"
"2020/2021","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, registration status","Total, gender","Number","223","units","0","v79464926","1.1.1.1.3.1.1","98439","","","","0"
"2021/2022","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, registration status","Total, gender","Number","223","units","0","v79464926","1.1.1.1.3.1.1","101736","","","","0"
"2022/2023","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Education [1]","Total, registration status","Total, gender","Number","223","units","0","v79464926","1.1.1.1.3.1.1","100710","","","","0"
"2018/2019","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, registration status","Total, gender","Number","223","units","0","v79464938","1.1.1.1.4.1.1","83019","","","","0"
"2019/2020","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, registration status","Total, gender","Number","223","units","0","v79464938","1.1.1.1.4.1.1","84036","","","","0"
"2020/2021","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, registration status","Total, gender","Number","223","units","0","v79464938","1.1.1.1.4.1.1","82287","","","","0"
"2021/2022","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, registration status","Total, gender","Number","223","units","0","v79464938","1.1.1.1.4.1.1","82443","","","","0"
"2022/2023","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Visual and performing arts, and communications technologies [2]","Total, registration status","Total, gender","Number","223","units","0","v79464938","1.1.1.1.4.1.1","82752","","","","0"
"2018/2019","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, registration status","Total, gender","Number","223","units","0","v79464950","1.1.1.1.5.1.1","267315","","","","0"
"2019/2020","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, registration status","Total, gender","Number","223","units","0","v79464950","1.1.1.1.5.1.1","258162","","","","0"
"2020/2021","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, registration status","Total, gender","Number","223","units","0","v79464950","1.1.1.1.5.1.1","254718","","","","0"
"2021/2022","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, registration status","Total, gender","Number","223","units","0","v79464950","1.1.1.1.5.1.1","238827","","","","0"
"2022/2023","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Humanities [3]","Total, registration status","Total, gender","Number","223","units","0","v79464950","1.1.1.1.5.1.1","231621","","","","0"
"2018/2019","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Social and behavioural sciences and law [4]","Total, registration status","Total, gender","Number","223","units","0","v79464962","1.1.1.1.6.1.1","291474","","","","0"
"2019/2020","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Social and behavioural sciences and law [4]","Total, registration status","Total, gender","Number","223","units","0","v79464962","1.1.1.1.6.1.1","297000","","","","0"
"2020/2021","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Social and behavioural sciences and law [4]","Total, registration status","Total, gender","Number","223","units","0","v79464962","1.1.1.1.6.1.1","306669","","","","0"
"2021/2022","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Social and behavioural sciences and law [4]","Total, registration status","Total, gender","Number","223","units","0","v79464962","1.1.1.1.6.1.1","307389","","","","0"
"2022/2023","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Social and behavioural sciences and law [4]","Total, registration status","Total, gender","Number","223","units","0","v79464962","1.1.1.1.6.1.1","301524","","","","0"
"2018/2019","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Business, management and public administration [5]","Total, registration status","Total, gender","Number","223","units","0","v79464974","1.1.1.1.7.1.1","397326","","","","0"
"2019/2020","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Business, management and public administration [5]","Total, registration status","Total, gender","Number","223","units","0","v79464974","1.1.1.1.7.1.1","408879","","","","0"
"2020/2021","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Business, management and public administration [5]","Total, registration status","Total, gender","Number","223","units","0","v79464974","1.1.1.1.7.1.1","413553","","","","0"
"2021/2022","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Business, management and public administration [5]","Total, registration status","Total, gender","Number","223","units","0","v79464974","1.1.1.1.7.1.1","419379","","","","0"
"2022/2023","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Business, management and public administration [5]","Total, registration status","Total, gender","Number","223","units","0","v79464974","1.1.1.1.7.1.1","431145","","","","0"
"2018/2019","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Physical and life sciences and technologies [6]","Total, registration status","Total, gender","Number","223","units","0","v79464986","1.1.1.1.8.1.1","174549","","","","0"
"2019/2020","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Physical and life sciences and technologies [6]","Total, registration status","Total, gender","Number","223","units","0","v79464986","1.1.1.1.8.1.1","178320","","","","0"
"2020/2021","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Physical and life sciences and technologies [6]","Total, registration status","Total, gender","Number","223","units","0","v79464986","1.1.1.1.8.1.1","182973","","","","0"
"2021/2022","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Physical and life sciences and technologies [6]","Total, registration status","Total, gender","Number","223","units","0","v79464986","1.1.1.1.8.1.1","187089","","","","0"
"2022/2023","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Physical and life sciences and technologies [6]","Total, registration status","Total, gender","Number","223","units","0","v79464986","1.1.1.1.8.1.1","186972","","","","0"
"2018/2019","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Mathematics, computer and information sciences [7]","Total, registration status","Total, gender","Number","223","units","0","v79464998","1.1.1.1.9.1.1","101910","","","","0"
"2019/2020","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Mathematics, computer and information sciences [7]","Total, registration status","Total, gender","Number","223","units","0","v79464998","1.1.1.1.9.1.1","113571","","","","0"
"2020/2021","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Mathematics, computer and information sciences [7]","Total, registration status","Total, gender","Number","223","units","0","v79464998","1.1.1.1.9.1.1","121248","","","","0"
"2021/2022","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Mathematics, computer and information sciences [7]","Total, registration status","Total, gender","Number","223","units","0","v79464998","1.1.1.1.9.1.1","129576","","","","0"
"2022/2023","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Mathematics, computer and information sciences [7]","Total, registration status","Total, gender","Number","223","units","0","v79464998","1.1.1.1.9.1.1","142209","","","","0"
"2018/2019","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Architecture, engineering and related technologies [8]","Total, registration status","Total, gender","Number","223","units","0","v79465010","1.1.1.1.10.1.1","232995","","","","0"
"2019/2020","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Architecture, engineering and related technologies [8]","Total, registration status","Total, gender","Number","223","units","0","v79465010","1.1.1.1.10.1.1","238044","","","","0"
"2020/2021","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Architecture, engineering and related technologies [8]","Total, registration status","Total, gender","Number","223","units","0","v79465010","1.1.1.1.10.1.1","231468","","","","0"
"2021/2022","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Architecture, engineering and related technologies [8]","Total, registration status","Total, gender","Number","223","units","0","v79465010","1.1.1.1.10.1.1","235101","","","","0"
"2022/2023","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Architecture, engineering and related technologies [8]","Total, registration status","Total, gender","Number","223","units","0","v79465010","1.1.1.1.10.1.1","241632","","","","0"
"2018/2019","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Agriculture, natural resources and conservation [9]","Total, registration status","Total, gender","Number","223","units","0","v79465022","1.1.1.1.11.1.1","39351","","","","0"
"2019/2020","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Agriculture, natural resources and conservation [9]","Total, registration status","Total, gender","Number","223","units","0","v79465022","1.1.1.1.11.1.1","40251","","","","0"
"2020/2021","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Agriculture, natural resources and conservation [9]","Total, registration status","Total, gender","Number","223","units","0","v79465022","1.1.1.1.11.1.1","39927","","","","0"
"2021/2022","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Agriculture, natural resources and conservation [9]","Total, registration status","Total, gender","Number","223","units","0","v79465022","1.1.1.1.11.1.1","39903","","","","0"
"2022/2023","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Agriculture, natural resources and conservation [9]","Total, registration status","Total, gender","Number","223","units","0","v79465022","1.1.1.1.11.1.1","39654","","","","0"
"2018/2019","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Health and related fields [10]","Total, registration status","Total, gender","Number","223","units","0","v79465034","1.1.1.1.12.1.1","262065","","","","0"
"2019/2020","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Health and related fields [10]","Total, registration status","Total, gender","Number","223","units","0","v79465034","1.1.1.1.12.1.1","264402","","","","0"
"2020/2021","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Health and related fields [10]","Total, registration status","Total, gender","Number","223","units","0","v79465034","1.1.1.1.12.1.1","267135","","","","0"
"2021/2022","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Health and related fields [10]","Total, registration status","Total, gender","Number","223","units","0","v79465034","1.1.1.1.12.1.1","274359","","","","0"
"2022/2023","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Health and related fields [10]","Total, registration status","Total, gender","Number","223","units","0","v79465034","1.1.1.1.12.1.1","276336","","","","0"
"2018/2019","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Personal, protective and transportation services [11]","Total, registration status","Total, gender","Number","223","units","0","v79465046","1.1.1.1.13.1.1","47766","","","","0"
"2019/2020","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Personal, protective and transportation services [11]","Total, registration status","Total, gender","Number","223","units","0","v79465046","1.1.1.1.13.1.1","49071","","","","0"
"2020/2021","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Personal, protective and transportation services [11]","Total, registration status","Total, gender","Number","223","units","0","v79465046","1.1.1.1.13.1.1","48453","","","","0"
"2021/2022","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Personal, protective and transportation services [11]","Total, registration status","Total, gender","Number","223","units","0","v79465046","1.1.1.1.13.1.1","47580","","","","0"
"2022/2023","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Personal, protective and transportation services [11]","Total, registration status","Total, gender","Number","223","units","0","v79465046","1.1.1.1.13.1.1","46935","","","","0"
"2018/2019","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Other field of study [12]","Total, registration status","Total, gender","Number","223","units","0","v79465058","1.1.1.1.14.1.1","55491","","","","0"
"2019/2020","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Other field of study [12]","Total, registration status","Total, gender","Number","223","units","0","v79465058","1.1.1.1.14.1.1","53697","","","","0"
"2020/2021","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Other field of study [12]","Total, registration status","Total, gender","Number","223","units","0","v79465058","1.1.1.1.14.1.1","50922","","","","0"
"2021/2022","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Other field of study [12]","Total, registration status","Total, gender","Number","223","units","0","v79465058","1.1.1.1.14.1.1","49653","","","","0"
"2022/2023","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Other field of study [12]","Total, registration status","Total, gender","Number","223","units","0","v79465058","1.1.1.1.14.1.1","48033","","","","0"
"2018/2019","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Unclassified, field of study","Total, registration status","Total, gender","Number","223","units","0","v1138398842","1.1.1.1.15.1.1","88581","","","","0"
"2019/2020","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Unclassified, field of study","Total, registration status","Total, gender","Number","223","units","0","v1138398842","1.1.1.1.15.1.1","81501","","","","0"
"2020/2021","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Unclassified, field of study","Total, registration status","Total, gender","Number","223","units","0","v1138398842","1.1.1.1.15.1.1","59613","","","","0"
"2021/2022","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Unclassified, field of study","Total, registration status","Total, gender","Number","223","units","0","v1138398842","1.1.1.1.15.1.1","69576","","","","0"
"2022/2023","Canada","2021A000011124","Total, institution type","Total, program type","Total, credential type","Unclassified, field of study","Total, registration status","Total, gender","Number","223","units","0","v1138398842","1.1.1.1.15.1.1","66474","","","","0"


